year,educational_attainment,race_or_ethnicity,value
2014,"Some college, no degree",Hispanic,39730.0
2014,Less than high school completion,Hispanic,29910.0
2014,Master's or higher degree,Hispanic,72530.0
2014,Bachelor's degree,Hispanic,55730.0
2014,Bachelor's or higher degree,Hispanic,59940.0
2014,Associate's degree,Hispanic,39370.0
2015,Associate's degree,Hispanic,45330.0
2015,Bachelor's or higher degree,Hispanic,63810.0
2015,High school completion,Hispanic,37630.0
2015,All education levels,Hispanic,39840.0
2015,"Some college, no degree",Hispanic,42440.0
2015,Less than high school completion,Hispanic,30060.0
2015,Master's or higher degree,Hispanic,67560.0
2015,Bachelor's degree,Hispanic,63000.0
2016,Master's or higher degree,Hispanic,69700.0
2016,Bachelor's degree,Hispanic,57080.0
2016,Less than high school completion,Hispanic,31760.0
2016,All education levels,Hispanic,41420.0
2016,High school completion,Hispanic,37680.0
2016,"Some college, no degree",Hispanic,39370.0
2016,Bachelor's or higher degree,Hispanic,61530.0
2016,Associate's degree,Hispanic,44000.0
2017,Associate's degree,Hispanic,44010.0
2017,All education levels,Hispanic,42090.0
2017,High school completion,Hispanic,36760.0
2017,Less than high school completion,Hispanic,31780.0
2017,Bachelor's or higher degree,Hispanic,58700.0
2017,"Some college, no degree",Hispanic,42400.0
2017,Master's or higher degree,Hispanic,69420.0
2017,Bachelor's degree,Hispanic,56100.0
2018,High school completion,Hispanic,37840.0
2018,"Some college, no degree",Hispanic,42490.0
2018,Master's or higher degree,Hispanic,72330.0
2018,Less than high school completion,Hispanic,32310.0
2018,Associate's degree,Hispanic,42870.0
2018,All education levels,Hispanic,42790.0
2018,Bachelor's degree,Hispanic,54620.0
2018,Bachelor's or higher degree,Hispanic,59230.0
2019,All education levels,Hispanic,43180.0
2019,High school completion,Hispanic,40760.0
2019,"Some college, no degree",Hispanic,42200.0
2019,Bachelor's degree,Hispanic,53400.0
2019,Bachelor's or higher degree,Hispanic,58320.0
2019,Associate's degree,Hispanic,45670.0
2019,Less than high school completion,Hispanic,32980.0
2019,Master's or higher degree,Hispanic,70140.0
2020,Less than high school completion,Hispanic,35050.0
2020,"Some college, no degree",Hispanic,43810.0
2020,High school completion,Hispanic,39560.0
2020,Associate's degree,Hispanic,47610.0
2020,Bachelor's or higher degree,Hispanic,60540.0
2020,All education levels,Hispanic,46310.0
2020,Master's or higher degree,Hispanic,68320.0
2020,Bachelor's degree,Hispanic,58160.0
2021,Master's or higher degree,Hispanic,77070.0
2021,Bachelor's degree,Hispanic,56670.0
2021,Associate's degree,Hispanic,46160.0
2021,Less than high school completion,Hispanic,34690.0
2021,Bachelor's or higher degree,Hispanic,61290.0
2021,High school completion,Hispanic,41240.0
2021,All education levels,Hispanic,45490.0
2021,"Some college, no degree",Hispanic,44680.0
2022,Bachelor's or higher degree,Hispanic,60200.0
2022,Master's or higher degree,Hispanic,62290.0
2022,Associate's degree,Hispanic,45770.0
2022,Bachelor's degree,Hispanic,57100.0
2022,All education levels,Hispanic,45610.0
2022,"Some college, no degree",Hispanic,43010.0
2022,High school completion,Hispanic,41220.0
2022,Less than high school completion,Hispanic,32940.0
2010,Master's or higher degree,White,74780.0
2010,Bachelor's or higher degree,White,67380.0
2010,Bachelor's degree,White,62960.0
2010,High school completion,White,43760.0
2010,Less than high school completion,White,35190.0
2010,All education levels,White,55330.0
2010,"Some college, no degree",White,47010.0
2010,Associate's degree,White,54100.0
2012,Master's or higher degree,White,73710.0
2012,"Some college, no degree",White,45030.0
2012,High school completion,White,41410.0
2012,Bachelor's or higher degree,White,64900.0
2012,All education levels,White,53110.0
2012,Bachelor's degree,White,61190.0
2012,Associate's degree,White,49950.0
2012,Less than high school completion,White,33360.0
2013,All education levels,White,53140.0
2013,Less than high school completion,White,38950.0
2013,"Some college, no degree",White,45800.0
2013,High school completion,White,40400.0
2013,Bachelor's or higher degree,White,65000.0
2013,Associate's degree,White,51310.0
2013,Master's or higher degree,White,76330.0
2013,Bachelor's degree,White,62710.0
2014,"Some college, no degree",White,43760.0
2014,Associate's degree,White,45960.0
2014,All education levels,White,52580.0
2014,Bachelor's degree,White,63110.0
2014,Bachelor's or higher degree,White,65310.0
2014,High school completion,White,40930.0
2014,Less than high school completion,White,35820.0
2014,Master's or higher degree,White,73200.0
2015,"Some college, no degree",White,44990.0
2015,High school completion,White,43500.0
2015,Less than high school completion,White,37060.0
2015,Associate's degree,White,48830.0
2015,Bachelor's degree,White,63420.0
2015,Master's or higher degree,White,76570.0
2015,Bachelor's or higher degree,White,67980.0
2015,All education levels,White,56060.0
2016,Associate's degree,White,49520.0
2016,Bachelor's or higher degree,White,67760.0
2016,Less than high school completion,White,36750.0
2016,Master's or higher degree,White,75690.0
2016,"Some college, no degree",White,44220.0
2016,Bachelor's degree,White,62960.0
2016,All education levels,White,55910.0
2016,High school completion,White,44260.0
2017,High school completion,White,43250.0
2017,"Some college, no degree",White,47390.0
2017,Bachelor's or higher degree,White,68250.0
2017,Bachelor's degree,White,65240.0
2017,Associate's degree,White,49250.0
2017,Master's or higher degree,White,79890.0
2017,Less than high school completion,White,36540.0
2017,All education levels,White,56040.0
2018,Less than high school completion,White,41650.0
2018,High school completion,White,43780.0
2018,All education levels,White,57450.0
2018,Master's or higher degree,White,73920.0
2018,Bachelor's or higher degree,White,70450.0
2018,Bachelor's degree,White,67530.0
2018,Associate's degree,White,49730.0
2018,"Some college, no degree",White,44860.0
2019,High school completion,White,44610.0
2019,Less than high school completion,White,39560.0
2019,Master's or higher degree,White,80340.0
2019,Bachelor's or higher degree,White,70660.0
2019,Associate's degree,White,51520.0
2019,All education levels,White,58760.0
2019,Bachelor's degree,White,69150.0
2019,"Some college, no degree",White,47240.0
2020,All education levels,White,59790.0
2020,Bachelor's or higher degree,White,72490.0
2020,"Some college, no degree",White,47580.0
2020,Associate's degree,White,52960.0
2020,Less than high school completion,White,38250.0
2020,High school completion,White,46100.0
2020,Master's or higher degree,White,79440.0
2020,Bachelor's degree,White,69800.0
2021,Master's or higher degree,White,76050.0
2021,Bachelor's or higher degree,White,72620.0
2021,All education levels,White,59620.0
2021,Bachelor's degree,White,71920.0
2021,Less than high school completion,White,37700.0
2021,High school completion,White,45400.0
2021,Associate's degree,White,50090.0
2021,"Some college, no degree",White,48860.0
2022,Associate's degree,White,50930.0
2022,Bachelor's degree,White,70250.0
2022,Bachelor's or higher degree,White,71650.0
2022,High school completion,White,45060.0
2022,All education levels,White,58120.0
2022,"Some college, no degree",White,48310.0
2022,Less than high school completion,White,43830.0
2022,Master's or higher degree,White,78700.0
