sex,educational_attainment,year,race_or_ethnicity,rate
Female,Bachelor's or higher degree,2022,Asian,57.8
Total,Bachelor's or higher degree,2015,White,36.2
Total,High school completion or higher,2019,Hispanic,71.8
Total,High school completion or higher,2022,White,95.2
Total,High school completion or higher,2023,Asian,92.4
Male,High school completion or higher,2023,Hispanic,74.3
Male,Bachelor's or higher degree,2011,Asian,54.0
Female,High school completion or higher,2012,Black,86.1
Total,High school completion or higher,2012,White,92.5
Female,Bachelor's or higher degree,2016,White,37.3
Total,High school completion or higher,2020,Black,90.0
Female,High school completion or higher,2011,Hispanic,65.1
Female,Bachelor's or higher degree,2013,Black,23.4
Total,Bachelor's or higher degree,2014,Hispanic,15.2
Total,High school completion or higher,2014,Asian,89.5
Total,High school completion or higher,2016,Asian,90.6
Female,Bachelor's or higher degree,2018,White,38.8
Male,High school completion or higher,2019,Black,88.1
Female,High school completion or higher,2023,Asian,91.5
Total,Bachelor's or higher degree,2011,Asian,50.8
Female,Bachelor's or higher degree,2011,Hispanic,15.2
Male,High school completion or higher,2015,Asian,91.3
Female,Bachelor's or higher degree,2016,Asian,53.8
Female,High school completion or higher,2017,White,94.5
Female,High school completion or higher,2018,White,94.7
Female,Bachelor's or higher degree,2019,Black,27.9
Female,High school completion or higher,2022,Hispanic,76.5
Total,High school completion or higher,2013,Black,85.9
Total,High school completion or higher,2013,Hispanic,66.2
Female,High school completion or higher,2016,White,94.3
Female,High school completion or higher,2021,Asian,92.1
Female,High school completion or higher,2021,Black,90.9
Male,High school completion or higher,2021,Hispanic,72.6
Female,Bachelor's or higher degree,2022,Black,30.4
Female,Bachelor's or higher degree,2013,Asian,51.3
Female,High school completion or higher,2015,Hispanic,67.8
Female,High school completion or higher,2018,Black,88.7
Male,High school completion or higher,2018,Black,88.3
Male,High school completion or higher,2018,Hispanic,70.7
Female,Bachelor's or higher degree,2020,White,41.7
Male,High school completion or higher,2022,Asian,93.7
Female,Bachelor's or higher degree,2023,Black,31.4
Male,Bachelor's or higher degree,2023,White,41.0
Male,High school completion or higher,2023,Asian,93.3
Male,High school completion or higher,2011,Black,84.2
Male,High school completion or higher,2012,Black,85.1
Total,High school completion or higher,2016,Black,87.7
Male,High school completion or higher,2016,Hispanic,67.2
Total,High school completion or higher,2017,Hispanic,70.5
Male,Bachelor's or higher degree,2020,Asian,63.6
Female,Bachelor's or higher degree,2011,White,33.1
Male,High school completion or higher,2011,Hispanic,63.6
Male,Bachelor's or higher degree,2018,Black,23.6
Male,High school completion or higher,2011,White,92.0
Total,Bachelor's or higher degree,2012,Hispanic,14.5
Male,Bachelor's or higher degree,2016,Asian,59.4
Total,Bachelor's or higher degree,2016,Asian,56.4
Female,High school completion or higher,2017,Hispanic,71.6
Male,Bachelor's or higher degree,2021,White,40.8
Total,Bachelor's or higher degree,2023,Black,29.0
Female,Bachelor's or higher degree,2011,Asian,48.0
Total,High school completion or higher,2011,Black,84.8
Female,High school completion or higher,2012,White,92.7
Total,Bachelor's or higher degree,2013,Asian,53.9
Female,Bachelor's or higher degree,2014,Asian,50.4
Total,High school completion or higher,2014,Black,86.7
Male,Bachelor's or higher degree,2020,White,41.0
Total,Bachelor's or higher degree,2021,Asian,61.9
Total,High school completion or higher,2023,Hispanic,75.5
Total,Bachelor's or higher degree,2017,Asian,55.4
Total,Bachelor's or higher degree,2017,Black,24.3
Total,High school completion or higher,2022,Asian,92.5
Female,Bachelor's or higher degree,2011,Black,21.7
Male,Bachelor's or higher degree,2012,Black,19.5
Male,Bachelor's or higher degree,2013,Black,20.2
Female,High school completion or higher,2014,Asian,87.4
Male,High school completion or higher,2015,Hispanic,65.5
Total,Bachelor's or higher degree,2018,Black,25.6
Male,High school completion or higher,2019,Hispanic,70.8
Female,Bachelor's or higher degree,2015,Hispanic,16.6
Total,Bachelor's or higher degree,2016,Hispanic,16.4
Female,Bachelor's or higher degree,2017,Black,25.7
Total,High school completion or higher,2021,Black,90.8
Female,Bachelor's or higher degree,2022,Hispanic,22.9
Male,Bachelor's or higher degree,2011,Black,18.4
Total,High school completion or higher,2011,Asian,88.7
Total,High school completion or higher,2023,White,95.5
Female,High school completion or higher,2013,White,93.2
Total,High school completion or higher,2015,White,93.3
Female,High school completion or higher,2019,Asian,89.8
Total,High school completion or higher,2019,White,94.6
Total,High school completion or higher,2020,White,95.1
Male,Bachelor's or higher degree,2014,White,35.9
Male,High school completion or higher,2018,White,93.9
Male,Bachelor's or higher degree,2020,Black,24.4
